seed,input_rate,max_time,num_restarts,deact_weight,time_pressure,act_rest,input_name,sub_threshold,coop_weight,k,tau,comp_weight,coop_asymmetry,prune_threshold,start_produce,num_restarts,noise_std,ext_weight,conf_threshold,utterance_intervals,cxn_usage_count,syntactic_complexity,utterance_lengths,requested_info,max_BLEU_score,utterance
378948134,100,2000,1,0.0,1.0,0.001,woman_in_blue_static,0.8,1.0,10.0,1000.0,-10.0,1.0,0.01,1000.0,1,1.0,10.0,0.3,nan,1.0,0.0,1.0,nan,1.0,<START><1003>blue<END>
378948134,100,2000,1,0.0,1.0,0.001,woman_in_blue_static,0.8,1.0,10.0,1000.0,-10.0,1.0,0.01,1000.0,1,2.0,1.0,0.3,nan,1.0,0.0,1.0,nan,1.0,<START><1003>blue<END>
378948134,100,2000,1,0.0,1.0,0.001,woman_in_blue_static,0.8,1.0,10.0,1000.0,-10.0,1.0,0.01,1000.0,1,2.0,10.0,0.3,nan,1.0,0.0,1.0,nan,1.0,<START><1003>blue<END>
378948134,100,2000,1,0.0,1000.0,0.001,woman_in_blue_static,0.8,1.0,1.0,100.0,-10.0,1.0,0.01,1000.0,1,1.0,1.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1000.0,0.001,woman_in_blue_static,0.8,1.0,1.0,100.0,-10.0,1.0,0.01,1000.0,1,1.0,10.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1000.0,0.001,woman_in_blue_static,0.8,1.0,1.0,100.0,-10.0,1.0,0.01,1000.0,1,2.0,1.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1000.0,0.001,woman_in_blue_static,0.8,1.0,1.0,100.0,-10.0,1.0,0.01,1000.0,1,2.0,10.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1000.0,0.001,woman_in_blue_static,0.8,1.0,10.0,100.0,-10.0,1.0,0.01,1000.0,1,1.0,1.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1000.0,0.001,woman_in_blue_static,0.8,1.0,10.0,100.0,-10.0,1.0,0.01,1000.0,1,1.0,10.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1000.0,0.001,woman_in_blue_static,0.8,1.0,10.0,100.0,-10.0,1.0,0.01,1000.0,1,2.0,1.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1000.0,0.001,woman_in_blue_static,0.8,1.0,10.0,100.0,-10.0,1.0,0.01,1000.0,1,2.0,10.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1000.0,0.001,woman_in_blue_static,0.8,1.0,1.0,1000.0,-10.0,1.0,0.01,1000.0,1,1.0,1.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1000.0,0.001,woman_in_blue_static,0.8,1.0,1.0,1000.0,-10.0,1.0,0.01,1000.0,1,1.0,10.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1000.0,0.001,woman_in_blue_static,0.8,1.0,1.0,1000.0,-10.0,1.0,0.01,1000.0,1,2.0,1.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1000.0,0.001,woman_in_blue_static,0.8,1.0,1.0,1000.0,-10.0,1.0,0.01,1000.0,1,2.0,10.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1000.0,0.001,woman_in_blue_static,0.8,1.0,10.0,1000.0,-10.0,1.0,0.01,1000.0,1,1.0,1.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1000.0,0.001,woman_in_blue_static,0.8,1.0,10.0,1000.0,-10.0,1.0,0.01,1000.0,1,1.0,10.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1000.0,0.001,woman_in_blue_static,0.8,1.0,10.0,1000.0,-10.0,1.0,0.01,1000.0,1,2.0,1.0,0.3,nan,0.0,nan,nan,nan,nan,nan
378948134,100,2000,1,0.0,1000.0,0.001,woman_in_blue_static,0.8,1.0,10.0,1000.0,-10.0,1.0,0.01,1000.0,1,2.0,10.0,0.3,nan,0.0,nan,nan,nan,nan,nan
